# lunarne efemeride 1995-2000
# datum RA[h] Dec[stopinje]
JAN1 18.26483 -19.45378
JAN2 19.29967 -17.55858
JAN3 20.28822 -14.56047
JAN4 21.22175 -10.77597
JAN5 22.10244 -6.52906
JAN6 22.93939 -2.10253
JAN7 23.74492 2.27744
JAN8 0.53197 6.43550
JAN9 1.31264 10.23242
JAN10 2.09728 13.55006
JAN11 2.89372 16.28050
JAN12 3.70672 18.32150
JAN13 4.53731 19.57906
JAN14 5.38275 19.97650
JAN15 6.23731 19.46728
JAN16 7.09378 18.04703
JAN17 7.94561 15.76056
JAN18 8.78894 12.70072
JAN19 9.62350 9.00133
JAN20 10.45303 4.82725
JAN21 11.28472 0.36608
JAN22 12.12822 -4.17606
JAN23 12.99433 -8.57469
JAN24 13.89328 -12.58561
JAN25 14.83208 -15.94772
JAN26 15.81167 -18.39842
JAN27 16.82400 -19.70817
JAN28 17.85208 -19.73036
JAN29 18.87381 -18.44692
JAN30 19.86839 -15.98239
JAN31 20.82236 -12.57539
FEB1 21.73133 -8.52319
FEB2 22.59867 -4.12675
FEB3 23.43247 0.34542
FEB4 0.24306 4.67186
FEB5 1.04092 8.67683
FEB6 1.83572 12.22089
FEB7 2.63539 15.18983
FEB8 3.44561 17.48608
FEB9 4.26925 19.02458
FEB10 5.10631 19.73417
FEB11 5.95397 19.56383
FEB12 6.80772 18.49175
FEB13 7.66264 16.53417
FEB14 8.51500 13.75181
FEB15 9.36344 10.25181
FEB16 10.20969 6.18567
FEB17 11.05844 1.74411
FEB18 11.91667 -2.84992
FEB19 12.79250 -7.34953
FEB20 13.69361 -11.49303
FEB21 14.62525 -15.01653
FEB22 15.58794 -17.67222
FEB23 16.57561 -19.25475
FEB24 17.57558 -19.63328
FEB25 18.57131 -18.77839
FEB26 19.54664 -16.77125
FEB27 20.49028 -13.78828
FEB28 21.39756 -10.06872
MAR1 22.26992 -5.87758
MAR2 23.11314 -1.47578
MAR3 23.93519 2.89933
MAR4 0.74461 7.04306
MAR5 1.54928 10.78497
MAR6 2.35572 13.98631
MAR7 3.16864 16.53536
MAR8 3.99047 18.34375
MAR9 4.82147 19.34439
MAR10 5.66003 19.49181
MAR11 6.50344 18.76453
MAR12 7.34889 17.16836
MAR13 8.19450 14.74058
MAR14 9.04031 11.55439
MAR15 9.88867 7.72358
MAR16 10.74422 3.40719
MAR17 11.61347 -1.18797
MAR18 12.50369 -5.80967
MAR19 13.42128 -10.17039
MAR20 14.36989 -13.96814
MAR21 15.34789 -16.91814
MAR22 16.34703 -18.79181
MAR23 17.35303 -19.45333
MAR24 18.34881 -18.88097
MAR25 19.31919 -17.16308
MAR26 20.25464 -14.47156
MAR27 21.15247 -11.02642
MAR28 22.01583 -7.06475
MAR29 22.85156 -2.82031
MAR30 23.66817 1.48694
MAR31 0.47436 5.65589
APR1 1.27781 9.50653
APR2 2.08453 12.88167
APR3 2.89828 15.64889
APR4 3.72039 17.70244
APR5 4.54992 18.96506
APR6 5.38425 19.38906
APR7 6.22006 18.95600
APR8 7.05447 17.67528
APR9 7.88625 15.58175
APR10 8.71647 12.73497
APR11 9.54878 9.22108
APR12 10.38939 5.15878
APR13 11.24633 0.70897
APR14 12.12875 -3.91517
APR15 13.04517 -8.44356
APR16 14.00119 -12.55817
APR17 14.99639 -15.92358
APR18 16.02186 -18.23983
APR19 17.06006 -19.30456
APR20 18.08872 -19.05761
APR21 19.08744 -17.58417
APR22 20.04333 -15.07661
APR23 20.95267 -11.77911
APR24 21.81947 -7.94253
APR25 22.65242 -3.79983
APR26 23.46211 0.44064
APR27 0.25922 4.59264
APR28 1.05328 8.48736
APR29 1.85167 11.97053
APR30 2.65919 14.90303
MAY1 3.47758 17.16517
MAY2 4.30547 18.66300
MAY3 5.13911 19.33467
MAY4 5.97353 19.15403
MAY5 6.80403 18.13006
MAY6 7.62775 16.30211
MAY7 8.44469 13.73356
MAY8 9.25819 10.50697
MAY9 10.07464 6.72414
MAY10 10.90308 2.51178
MAY11 11.75456 -1.96658
MAY12 12.64058 -6.49636
MAY13 13.57139 -10.80206
MAY14 14.55247 -14.55358
MAY15 15.58056 -17.40194
MAY16 16.64089 -19.04797
MAY17 17.70850 -19.32303
MAY18 18.75531 -18.23792
MAY19 19.75925 -15.96761
MAY20 20.70958 -12.78447
MAY21 21.60683 -8.98439
MAY22 22.45911 -4.83842
MAY23 23.27819 -0.57564
MAY24 0.07667 3.61408
MAY25 0.86633 7.56942
MAY26 1.65694 11.14733
MAY27 2.45567 14.21692
MAY28 3.26628 16.65919
MAY29 4.08908 18.37217
MAY30 4.92097 19.27947
MAY31 5.75642 19.33900
JUN1 6.58917 18.54794
JUN2 7.41411 16.94150
JUN3 8.22878 14.58644
JUN4 9.03428 11.57244
JUN5 9.83539 8.00533
JUN6 10.64011 4.00564
JUN7 11.45914 -0.28622
JUN8 12.30494 -4.69889
JUN9 13.19028 -9.01556
JUN10 14.12594 -12.96394
JUN11 15.11694 -16.22258
JUN12 16.15811 -18.45869
JUN13 17.23128 -19.40200
JUN14 18.30822 -18.92981
JUN15 19.35917 -17.11228
JUN16 20.36267 -14.18500
JUN17 21.31003 -10.46883
JUN18 22.20397 -6.28939
JUN19 23.05408 -1.92953
JUN20 23.87300 2.38392
JUN21 0.67358 6.47247
JUN22 1.46742 10.19172
JUN23 2.26378 13.41833
JUN24 3.06900 16.04225
JUN25 3.88592 17.96583
JUN26 4.71378 19.10864
JUN27 5.54861 19.41636
JUN28 6.38447 18.86947
JUN29 7.21519 17.48817
JUN30 8.03631 15.33089
JUL1 8.84633 12.48772
JUL2 9.64736 9.07175
JUL3 10.44508 5.21197
JUL4 11.24817 1.05139
JUL5 12.06758 -3.24961
JUL6 12.91561 -7.50472
JUL7 13.80431 -11.49128
JUL8 14.74292 -14.94531
JUL9 15.73431 -17.57267
JUL10 16.77094 -19.08875
JUL11 17.83369 -19.28642
JUL12 18.89564 -18.10697
JUL13 19.93039 -15.67003
JUL14 20.92025 -12.24022
JUL15 21.85911 -8.15167
JUL16 22.75047 -3.73536
JUL17 23.60356 0.72453
JUL18 0.42992 5.00281
JUL19 1.24100 8.92681
JUL20 2.04686 12.36233
JUL21 2.85525 15.20086
JUL22 3.67106 17.35153
JUL23 4.49589 18.73928
JUL24 5.32836 19.30836
JUL25 6.16450 19.02928
JUL26 6.99922 17.90569
JUL27 7.82789 15.97819
JUL28 8.64767 13.32350
JUL29 9.45861 10.04983
JUL30 10.26397 6.29025
JUL31 11.06989 2.19739
AUG1 11.88492 -2.05933
AUG2 12.71917 -6.29281
AUG3 13.58319 -10.29494
AUG4 14.48611 -13.83422
AUG5 15.43319 -16.66047
AUG6 16.42289 -18.52453
AUG7 17.44464 -19.21819
AUG8 18.47989 -18.62669
AUG9 19.50656 -16.77114
AUG10 20.50567 -13.81483
AUG11 21.46611 -10.02750
AUG12 22.38547 -5.72703
AUG13 23.26806 -1.22544
AUG14 0.12189 3.20528
AUG15 0.95628 7.34564
AUG16 1.78006 11.02636
AUG17 2.60056 14.11925
AUG18 3.42294 16.52731
AUG19 4.24989 18.17778
AUG20 5.08158 19.01933
AUG21 5.91611 19.02303
AUG22 6.75042 18.18547
AUG23 7.58131 16.53231
AUG24 8.40664 14.12064
AUG25 9.22628 11.03953
AUG26 10.04239 7.40911
AUG27 10.85961 3.37861
AUG28 11.68456 -0.87614
AUG29 12.52522 -5.15536
AUG30 13.38986 -9.23878
AUG31 14.28561 -12.89092
SEP1 15.21656 -15.87131
SEP2 16.18164 -17.95269
SEP3 17.17317 -18.94936
SEP4 18.17744 -18.75117
SEP5 19.17786 -17.35161
SEP6 20.15919 -14.85592
SEP7 21.11153 -11.46464
SEP8 22.03150 -7.43956
SEP9 22.92122 -3.06558
SEP10 23.78650 1.38106
SEP11 0.63447 5.65389
SEP12 1.47222 9.54686
SEP13 2.30556 12.89675
SEP14 3.13839 15.58078
SEP15 3.97261 17.51219
SEP16 4.80803 18.63586
SEP17 5.64306 18.92483
SEP18 6.47550 18.37786
SEP19 7.30342 17.01772
SEP20 8.12611 14.89056
SEP21 8.94458 12.06650
SEP22 9.76194 8.64172
SEP23 10.58314 4.74214
SEP24 11.41486 0.52747
SEP25 12.26461 -3.80619
SEP26 13.13983 -8.02767
SEP27 14.04647 -11.87933
SEP28 14.98689 -15.09483
SEP29 15.95811 -17.42725
SEP30 16.95081 -18.68392
OCT1 17.95061 -18.75944
OCT2 18.94144 -17.65422
OCT3 19.90986 -15.47067
OCT4 20.84806 -12.38978
OCT5 21.75458 -8.64017
OCT6 22.63297 -4.47008
OCT7 23.48989 -0.12747
OCT8 0.33292 4.15286
OCT9 1.16922 8.15806
OCT10 2.00433 11.70358
OCT11 2.84150 14.63839
OCT12 3.68142 16.84856
OCT13 4.52256 18.25883
OCT14 5.36181 18.83208
OCT15 6.19569 18.56547
OCT16 7.02158 17.48492
OCT17 7.83869 15.63864
OCT18 8.64856 13.09242
OCT19 9.45522 9.92808
OCT20 10.26503 6.24656
OCT21 11.08608 2.17508
OCT22 11.92767 -2.12278
OCT23 12.79906 -6.43814
OCT24 13.70803 -10.51458
OCT25 14.65844 -14.05983
OCT26 15.64758 -16.77775
OCT27 16.66444 -18.41817
OCT28 17.69083 -18.83092
OCT29 18.70592 -17.99878
OCT30 19.69219 -16.03231
OCT31 20.63986 -13.13203
NOV1 21.54756 -9.54058
NOV2 22.42031 -5.50592
NOV3 23.26683 -1.26236
NOV4 0.09708 2.97525
NOV5 0.92039 7.01089
NOV6 1.74428 10.66686
NOV7 2.57353 13.78569
NOV8 3.40972 16.23547
NOV9 4.25119 17.91711
NOV10 5.09375 18.77061
NOV11 5.93194 18.77761
NOV12 6.76083 17.95825
NOV13 7.57739 16.36342
NOV14 8.38161 14.06508
NOV15 9.17661 11.14817
NOV16 9.96867 7.70750
NOV17 10.76650 3.85031
NOV18 11.58075 -0.29478
NOV19 12.42322 -4.56456
NOV20 13.30533 -8.74733
NOV21 14.23603 -12.57594
NOV22 15.21844 -15.73919
NOV23 16.24611 -17.92292
NOV24 17.30153 -18.87953
NOV25 18.35903 -18.49967
NOV26 19.39264 -16.84486
NOV27 20.38397 -14.11964
NOV28 21.32592 -10.60436
NOV29 22.22122 -6.59028
NOV30 23.07889 -2.34089
DEC1 23.91047 1.91942
DEC2 0.72775 6.00106
DEC3 1.54097 9.74031
DEC4 2.35783 12.99217
DEC5 3.18267 15.62892
DEC6 4.01617 17.54394
DEC7 4.85544 18.65983
DEC8 5.69497 18.93650
DEC9 6.52836 18.37536
DEC10 7.35011 17.01722
DEC11 8.15731 14.93400
DEC12 8.95047 12.21794
DEC13 9.73364 8.97244
DEC14 10.51408 5.30761
DEC15 11.30164 1.34206
DEC16 12.10814 -2.78914
DEC17 12.94647 -6.92117
DEC18 13.82925 -10.84519
DEC19 14.76611 -14.29989
DEC20 15.76000 -16.98153
DEC21 16.80311 -18.58672
DEC22 17.87511 -18.88786
DEC23 18.94736 -17.81233
DEC24 19.99208 -15.47533
DEC25 20.99078 -12.14183
DEC26 21.93742 -8.14525
DEC27 22.83608 -3.81233
DEC28 23.69672 0.57803
DEC29 0.53142 4.80369
DEC30 1.35192 8.69058
DEC31 2.16808 12.09892
JAN1 2.98703 14.91261
JAN2 3.81247 17.03439
JAN3 4.64456 18.38767
JAN4 5.48017 18.92272
JAN5 6.31403 18.62347
JAN6 7.14039 17.51167
JAN7 7.95467 15.64522
JAN8 8.75489 13.11172
JAN9 9.54228 10.01894
JAN10 10.32139 6.48697
JAN11 11.09961 2.64336
JAN12 11.88667 -1.37600
JAN13 12.69400 -5.42125
JAN14 13.53378 -9.31883
